,date,open,high,low,close,adjClose,volume
147,2022-01-26,307.9899902,308.5,293.0299988,296.7099915,295.409729,90428900.0
148,2022-01-25,291.519989,294.9899902,285.1700134,288.4899902,287.2257385,72848600.0
149,2022-01-24,292.2000122,297.1099854,276.0499878,296.3699951,295.0711975,85731500.0
150,2022-01-21,302.6900024,304.1099854,295.6099854,296.0299988,294.7326965,57984400.0
151,2022-01-20,309.0700073,311.6499939,301.1400146,301.6000061,300.2782898,35380700.0
152,2022-01-19,306.2900085,313.9100037,302.7000122,303.3299866,302.0007019,45933900.0
153,2022-01-18,304.0700073,309.7999878,301.7399902,302.6499939,301.3236694,42333200.0
154,2022-01-14,304.25,310.8200073,303.75,310.2000122,308.8406067,39846400.0
155,2022-01-13,320.4700012,320.8800049,304.0,304.7999878,303.4642639,45366000.0
156,2022-01-12,319.6700134,323.4100037,317.0799866,318.269989,316.8752136,34372200.0
157,2022-01-11,313.3800049,316.6099854,309.8900146,314.980011,313.5996704,29386800.0
158,2022-01-10,309.4899902,314.7200012,304.6900024,314.269989,312.8927612,44289500.0
159,2022-01-07,314.1499939,316.5,310.0899963,314.0400085,312.6637573,32720000.0
160,2022-01-06,313.1499939,318.7000122,311.4899902,313.8800049,312.5044556,39646100.0
161,2022-01-05,325.8599854,326.0700073,315.980011,316.3800049,314.9935303,40054300.0
162,2022-01-04,334.8299866,335.2000122,326.1199951,329.0100098,327.5681763,32674300.0
163,2022-01-03,335.3500061,338.0,329.7799988,334.75,333.2829895,28865100.0
164,2021-12-31,338.5100098,339.3599854,335.8500061,336.3200073,334.8461304,18000800.0
165,2021-12-30,341.9100037,343.1300049,338.8200073,339.3200073,337.8329773,15994500.0
166,2021-12-29,341.2999878,344.2999878,339.6799927,341.9500122,340.4514771,15042000.0
167,2021-12-28,343.1499939,343.8099976,340.3200073,341.25,339.7545166,15661500.0
168,2021-12-27,335.4599915,342.480011,335.4299927,342.4500122,340.9492798,19947000.0
169,2021-12-23,332.75,336.3900146,332.730011,334.6900024,333.2232666,19617800.0
170,2021-12-22,328.2999878,333.6099854,325.75,333.2000122,331.7398071,24831500.0
171,2021-12-21,323.2900085,327.730011,319.7999878,327.2900085,325.8557129,24740600.0
172,2021-12-20,320.0499878,322.7999878,317.5700073,319.9100037,318.5080261,28326500.0
173,2021-12-17,320.8800049,324.9200134,317.25,323.7999878,322.3809814,47750300.0
174,2021-12-16,335.7099915,336.7600098,323.019989,324.8999939,323.4761658,35034800.0
175,2021-12-15,328.6099854,335.1900024,324.5,334.6499939,333.1834412,35381100.0
176,2021-12-14,333.2200012,334.6400146,324.1099854,328.3399963,326.9010925,44438700.0
177,2021-12-13,340.6799927,343.7900085,339.0799866,339.3999939,337.9126282,28899400.0
178,2021-12-10,334.980011,343.0,334.7900085,342.5400085,341.0388794,38095700.0
179,2021-12-09,334.4100037,336.4899902,332.1199951,333.1000061,331.6402588,22214200.0
180,2021-12-08,335.3099976,335.5,330.7999878,334.9700012,333.5020752,24761000.0
181,2021-12-07,331.6400146,335.7999878,330.1000061,334.9200134,333.4522705,31021900.0
182,2021-12-06,323.9500122,327.4500122,319.230011,326.1900024,324.7605286,30032600.0
183,2021-12-03,331.9899902,332.7000122,318.0299988,323.0100098,321.5944519,41779300.0
184,2021-12-02,330.2999878,333.4899902,327.7999878,329.4899902,328.046051,30766000.0
185,2021-12-01,335.1300049,339.2799988,329.3900146,330.0799866,328.6334534,33337600.0
186,2021-11-30,335.3200073,337.7799988,328.9899902,330.5899963,329.1412354,42885600.0
187,2021-11-29,334.9400024,339.0299988,334.7399902,336.6300049,335.1547852,28563500.0
188,2021-11-26,334.3500061,337.9299927,328.1199951,329.6799927,328.235199,24217200.0
189,2021-11-24,336.2799988,338.1600037,333.9100037,337.9100037,336.4291687,21661300.0
190,2021-11-23,337.0499878,339.4500122,333.5599976,337.6799927,336.2001648,30427600.0
191,2021-11-22,344.6199951,349.6700134,339.5499878,339.8299866,338.3407288,31031100.0
192,2021-11-19,342.6400146,345.1000061,342.2000122,343.1099854,341.6063538,21963400.0
193,2021-11-18,338.1799927,342.4500122,337.1199951,341.269989,339.7744446,22463500.0
194,2021-11-17,338.9400024,342.1900024,338.0,339.1199951,337.6338806,19053400.0
195,2021-11-16,335.6799927,340.6700134,335.5100098,339.5100098,337.4048767,20886800.0
196,2021-11-15,337.5400085,337.8800049,334.0299988,336.0700073,333.9862061,16723000.0
197,2021-11-12,333.9200134,337.230011,333.7900085,336.7200012,334.6321716,23831000.0
198,2021-11-11,331.25,333.769989,330.5100098,332.4299927,330.3687744,16849800.0
199,2021-11-10,334.5700073,334.6300049,329.9200134,330.7999878,328.7488708,25500900.0
200,2021-11-09,337.1099854,338.7200012,334.5299988,335.9500122,333.8669739,21307400.0
201,2021-11-08,337.2999878,337.6499939,334.4400024,336.9899902,334.9004822,20897000.0
202,2021-11-05,338.5100098,338.7900085,334.4200134,336.0599976,333.9762573,22570100.0
203,2021-11-04,332.8900146,336.5400085,329.5100098,336.4400024,334.3539124,23992200.0
204,2021-11-03,333.8999939,334.8999939,330.6499939,334.0,331.9290161,21500100.0
205,2021-11-02,330.3099976,333.4500122,330.0,333.1300049,331.0644531,26487100.0
206,2021-11-01,331.3599854,331.4899902,326.3699951,329.3699951,327.3277283,27073200.0
207,2021-10-29,324.1300049,332.0,323.8999939,331.6199951,329.5637817,34766000.0
208,2021-10-28,324.3299866,324.8699951,321.3599854,324.3500061,322.3388672,26297900.0
209,2021-10-27,316.0,326.1000061,316.0,323.1700134,321.1661682,52588700.0
210,2021-10-26,311.0,312.3999939,308.6000061,310.1099854,308.1871338,28107300.0
211,2021-10-25,309.3599854,309.3999939,306.4599915,308.1300049,306.2194214,17554500.0
212,2021-10-22,310.3999939,311.0899963,307.7999878,309.1600037,307.2430725,17449300.0
213,2021-10-21,307.1700134,311.019989,306.3599854,310.7600098,308.8331299,16918100.0
214,2021-10-20,309.2099915,309.7000122,306.1099854,307.4100037,305.5039062,16537100.0
215,2021-10-19,308.3500061,309.2999878,307.2200012,308.230011,306.3188171,17682100.0
216,2021-10-18,303.5700073,308.2099915,302.6900024,307.2900085,305.3846741,22729300.0
217,2021-10-15,302.3399963,304.4500122,300.519989,304.2099915,302.3237305,25384800.0
218,2021-10-14,299.2099915,303.269989,297.8299866,302.75,300.8728027,27262900.0
219,2021-10-13,294.9100037,297.2799988,293.4899902,296.3099976,294.4727173,23416300.0
220,2021-10-12,295.3399963,295.4400024,292.3500061,292.8800049,291.0639954,17974100.0
221,2021-10-11,292.9200134,297.9700012,292.75,294.230011,292.4056396,19298600.0
222,2021-10-08,296.2200012,296.6400146,293.7600098,294.8500061,293.021759,17685700.0
223,2021-10-07,295.1799927,296.6400146,293.9200134,294.8500061,293.021759,20430500.0
224,2021-10-06,285.7799988,293.6300049,285.5100098,293.1099854,291.2925415,28002600.0
225,2021-10-05,284.0499878,290.3999939,284.0499878,288.7600098,286.9695435,24993000.0
226,2021-10-04,287.3999939,287.75,280.25,283.1099854,281.3545532,31350700.0
227,2021-10-01,282.1199951,289.980011,281.2900085,289.1000061,287.3074341,30086300.0
228,2021-09-30,285.7099915,287.8299866,281.6199951,281.9200134,280.1719666,32343600.0
229,2021-09-29,285.1000061,286.769989,283.0100098,284.0,282.2390747,26353700.0
230,2021-09-28,289.7999878,290.7799988,282.75,283.519989,281.7620239,43186200.0
231,2021-09-27,296.1400146,296.4700012,292.9400024,294.1700134,292.3460083,23571700.0
232,2021-09-24,298.230011,299.7999878,296.9299927,299.3500061,297.4938965,14999000.0
233,2021-09-23,298.8500061,300.8999939,297.5299988,299.5599976,297.7025757,18604600.0
234,2021-09-22,296.730011,300.2200012,294.5100098,298.5799866,296.7286377,26626300.0
235,2021-09-21,295.6900024,297.5400085,294.0700073,294.7999878,292.9720764,22364100.0
236,2021-09-20,296.3299866,298.7200012,289.519989,294.2999878,292.4751587,38278700.0
237,2021-09-17,304.1700134,304.5,299.5299988,299.8699951,298.0106506,41372500.0
238,2021-09-16,303.7600098,305.3099976,300.7600098,305.2200012,303.3274841,19550800.0
239,2021-09-15,303.2600098,305.3200073,301.8200073,304.8200073,302.9299622,28356300.0
240,2021-09-14,299.5599976,301.3900146,298.1000061,299.7900085,297.9311523,21853400.0
241,2021-09-13,297.5499878,298.5400085,294.0799866,296.9899902,295.148468,23652900.0
242,2021-09-10,298.4200134,299.9200134,295.3800049,295.7099915,293.8764343,19633400.0
243,2021-09-09,300.8200073,302.1400146,297.0,297.25,295.4069214,19927000.0
244,2021-09-08,299.7799988,300.6099854,297.4700012,300.2099915,298.3485107,15046800.0
245,2021-09-07,301.0100098,301.0899963,298.2000122,300.1799927,298.3187256,17180400.0
246,2021-09-03,300.9899902,302.6000061,300.2600098,301.1400146,299.2727966,14747900.0
247,2021-09-02,302.2000122,303.3599854,300.1799927,301.1499939,299.2827148,16285600.0
248,2021-09-01,302.8699951,305.1900024,301.4899902,301.8299866,299.9584961,18983800.0
249,2021-08-31,304.4200134,304.5,301.5,301.8800049,300.0082092,26285300.0
250,2021-08-30,301.1199951,304.2200012,301.0599976,303.5899963,301.7075806,16348100.0
251,2021-08-27,298.9899902,300.8699951,296.8299866,299.7200012,297.8615723,22605700.0
252,2021-08-26,300.9899902,302.4299927,298.9500122,299.0899963,297.2355042,17666100.0
253,2021-08-25,304.2999878,304.5899963,300.4200134,302.0100098,300.1373901,20006100.0
254,2021-08-24,305.019989,305.6499939,302.0,302.6199951,300.7435913,18175800.0
255,2021-08-23,303.25,305.3999939,301.8500061,304.6499939,302.7609863,22830200.0
256,2021-08-20,299.7200012,305.8399963,298.0599976,304.3599854,302.4727783,40817600.0
257,2021-08-19,288.6900024,297.4700012,288.6400146,296.769989,294.9298706,29850500.0
258,2021-08-18,292.0400085,294.8200073,290.269989,290.730011,288.9273376,21813000.0
259,2021-08-17,292.3900146,293.4299927,291.0799866,293.0799866,290.7062073,20075300.0
260,2021-08-16,293.1900024,294.8200073,290.019989,294.6000061,292.2138977,22507600.0
261,2021-08-13,289.480011,292.8999939,289.2999878,292.8500061,290.4781189,18249000.0
262,2021-08-12,286.6300049,289.9700012,286.3399963,289.8099976,287.4627075,14561300.0
263,2021-08-11,287.2099915,288.6600037,285.8599854,286.9500122,284.625885,13955900.0
264,2021-08-10,288.7999878,289.25,285.2000122,286.4400024,284.1200256,18616600.0
265,2021-08-09,289.75,291.5499878,287.8099976,288.3299866,285.9946594,16117600.0
266,2021-08-06,288.5100098,289.5,287.6199951,289.4599915,287.1155396,16589300.0
267,2021-08-05,286.8800049,289.6300049,286.1000061,289.519989,287.1750183,13900200.0
268,2021-08-04,286.2200012,287.5899963,284.6499939,286.5100098,284.1894226,16191300.0
269,2021-08-03,285.4200134,287.230011,284.0,287.1199951,284.7945251,17879000.0
270,2021-08-02,286.3599854,286.769989,283.7399902,284.8200073,282.5131531,16267400.0
271,2021-07-30,285.1700134,286.6600037,283.9100037,284.9100037,282.602417,20944800.0
272,2021-07-29,286.2399902,288.6199951,286.0799866,286.5,284.1795349,18168300.0
273,2021-07-28,288.9899902,290.1499939,283.8299866,286.2200012,283.9017639,33566900.0
274,2021-07-27,289.4299927,289.5799866,282.9500122,286.5400085,284.2192078,33604100.0
275,2021-07-26,289.0,289.6900024,286.6400146,289.0499878,286.7088318,23176100.0
276,2021-07-23,287.3699951,289.9899902,286.5,289.6700134,287.3238525,22768100.0
277,2021-07-22,283.8399963,286.4200134,283.4200134,286.1400146,283.8224487,23384100.0
278,2021-07-21,278.8999939,281.519989,277.2900085,281.3999939,279.1207886,24364300.0
279,2021-07-20,278.0299988,280.9700012,276.2600098,279.3200073,277.0576782,26259700.0
280,2021-07-19,278.9299927,280.3699951,274.4500122,277.0100098,274.7664185,32935600.0
281,2021-07-16,282.0700073,284.1000061,279.4599915,280.75,278.4761047,26186800.0
282,2021-07-15,282.0,282.5100098,279.8299866,281.0299988,278.7538147,22604200.0
283,2021-07-14,282.3500061,283.6600037,280.5499878,282.5100098,280.2218323,23113700.0
284,2021-07-13,277.519989,282.8500061,277.3900146,280.980011,278.7042236,26120100.0
285,2021-07-12,279.1600037,279.769989,276.5799866,277.3200073,275.0738831,18931700.0
286,2021-07-09,275.7200012,278.0499878,275.3200073,277.9400024,275.6888733,23916700.0
287,2021-07-08,276.8999939,278.730011,274.8699951,277.4200134,275.1730957,24618600.0
288,2021-07-07,279.3999939,280.6900024,277.1499939,279.9299927,277.6627197,23260000.0
289,2021-07-06,278.0299988,279.3699951,274.2999878,277.6600037,275.4111023,31565600.0
290,2021-07-02,272.8200073,278.0,272.5,277.6499939,275.4011841,26458000.0
291,2021-07-01,269.6099854,271.8399963,269.6000061,271.6000061,269.4002075,16725300.0
292,2021-06-30,270.6900024,271.3599854,269.6000061,270.8999939,268.7058716,21656500.0
293,2021-06-29,268.8699951,271.6499939,267.980011,271.3999939,269.2018127,19937800.0
294,2021-06-28,266.1900024,268.8999939,265.9100037,268.7200012,266.5435181,19590000.0
295,2021-06-25,266.230011,267.25,264.7600098,265.019989,262.8735046,25611100.0
296,2021-06-24,266.1600037,267.8500061,265.4700012,266.6900024,264.5299683,21446900.0
297,2021-06-23,265.9899902,266.8299866,264.4299927,265.269989,263.12146,19518700.0
298,2021-06-22,262.7200012,265.7900085,262.3999939,265.5100098,263.3595276,24694100.0
299,2021-06-21,259.8200073,263.519989,257.9200134,262.6300049,260.5028687,26696100.0
300,2021-06-18,259.6300049,262.2999878,258.75,259.4299927,257.3287354,37202200.0
301,2021-06-17,256.0700073,261.75,256.0100098,260.8999939,258.7868347,27565500.0
302,2021-06-16,259.3999939,260.5799866,254.4199982,257.3800049,255.2953644,27220000.0
